Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140230_1443353162,71,0.033418,-0.1806,-1,0,0,0,0,0,0:00:00
20200722_140230_1443386494,71,0.039126,-0.1529,-1,0,0,0,0,0,0:00:00
20200722_140231_1443419826,71,0.087249,-0.0558,-1,0,0,0,0,0,0:00:01
20200722_140231_1443436492,71,0.114028,0.1074,0,0,0,0,0,0,0:00:01
20200722_140231_1443453158,71,0.109055,0.1654,0,0,0,0,0,0,0:00:01
20200722_140231_1443486490,70,0.10006,0.2076,0,0,0,0,0,0,0:00:01
20200722_140231_1443519822,70,0.085426,0.2231,1,0,0,0,0,0,0:00:01
20200722_140231_1443553154,70,0.11046,0.2087,1,0,0,0,0,0,0:00:01
20200722_140231_1443586486,70,0.119163,0.3123,1,0,0,0,0,0,0:00:01
20200722_140231_1443619818,70,0.124503,0.4542,2,0,0,0,0,0,0:00:01
20200722_140231_1443653150,70,0.16928,0.6269,2,0,0,0,0,0,0:00:01
20200722_140231_1443686482,70,0.205565,0.7798,3,0,0,0,0,0,0:00:01
20200722_140231_1443703148,70,0.18586,0.8636,3,0,0,0,0,0,0:00:01
20200722_140231_1443719814,70,0.157264,0.8784,3,0,0,0,0,0,0:00:01
20200722_140231_1443769812,70,0.137417,0.8746,3,0,0,0,0,0,0:00:01
20200722_140231_1443786478,70,0.103634,0.8382,3,0,0,0,0,0,0:00:01
20200722_140231_1443836476,70,0.08548,0.8284,3,0,0,0,0,0,0:00:01
20200722_140231_1443853142,70,0.054727,0.7741,4,0,0,0,0,0,0:00:01
20200722_140231_1443903140,70,0.051371,0.765,4,0,0,0,0,0,0:00:01
20200722_140231_1443936472,70,0.075909,0.823,4,6,0,0,0,0,0:00:01
20200722_140231_1443969804,70,0.07678,0.9054,4,17,0,0,0,0,0:00:01
20200722_140231_1444019802,70,0.084982,0.9843,5,36,0,0,0,0,0:00:01
20200722_140231_1444036468,70,0.101248,1.1057,5,40,0,0,0,0,0:00:01
20200722_140231_1444069800,70,0.089436,1.1198,5,42,0,0,0,0,0:00:01
20200722_140231_1444103132,70,0.052379,1.0997,5,49,0,0,0,0,0:00:01
20200722_140231_1444119798,70,0.035615,1.0473,5,56,0,0,0,0,0:00:01
20200722_140231_1444169796,70,0.027553,1.0131,5,57,0,0,0,0,0:00:01
20200722_140231_1444186462,70,-0.013008,0.9316,5,66,0,0,0,0,0:00:01
20200722_140231_1444219794,70,-0.016737,0.9118,5,69,0,0,0,0,0:00:01
20200722_140231_1444236460,70,-0.018949,0.8838,5,72,0,0,0,0,0:00:01
20200722_140231_1444269792,70,-0.017861,0.8773,5,75,0,0,0,0,0:00:01
20200722_140232_1444303124,70,-0.035623,0.8431,4,82,0,0,0,0,0:00:02
20200722_140232_1444336456,70,-0.05741,0.7885,4,86,0,0,0,0,0:00:02
20200722_140232_1444369788,70,-0.082348,0.683,3,89,0,0,0,0,0:00:02
20200722_140232_1444403120,70,-0.108676,0.5426,3,90,0,0,0,0,0:00:02
20200722_140232_1444436452,71,-0.131047,0.4106,3,91,0,0,0,0,0:00:02
20200722_140232_1444453118,71,-0.113004,0.3628,3,95,0,0,0,0,0:00:02
20200722_140232_1444486450,71,-0.10677,0.3802,3,98,0,0,0,0,0:00:02
20200722_140232_1444503116,71,-0.071023,0.4588,3,98,0,0,0,0,0:00:02
20200722_140232_1444536448,71,-0.048378,0.5081,3,98,0,0,0,0,0:00:02
