Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140230_1443386494,71,0.039126,-0.1529,-1,0,0,0,0,0,0:00:00
20200722_140231_1443453158,71,0.109055,0.1654,0,0,0,0,0,0,0:00:01
20200722_140231_1443553154,70,0.11046,0.2087,1,0,0,0,0,0,0:00:01
20200722_140231_1443653150,70,0.16928,0.6269,2,0,0,0,0,0,0:00:01
20200722_140231_1443719814,70,0.157264,0.8784,3,0,0,0,0,0,0:00:01
20200722_140231_1443836476,70,0.08548,0.8284,3,0,0,0,0,0,0:00:01
20200722_140231_1443936472,70,0.075909,0.823,4,6,0,0,0,0,0:00:01
20200722_140231_1444036468,70,0.101248,1.1057,5,40,0,0,0,0,0:00:01
20200722_140231_1444119798,70,0.035615,1.0473,5,56,0,0,0,0,0:00:01
20200722_140231_1444219794,70,-0.016737,0.9118,5,69,0,0,0,0,0:00:01
20200722_140232_1444303124,70,-0.035623,0.8431,4,82,0,0,0,0,0:00:02
20200722_140232_1444403120,70,-0.108676,0.5426,3,90,0,0,0,0,0:00:02
20200722_140232_1444486450,71,-0.10677,0.3802,3,98,0,0,0,0,0:00:02
20200722_140232_1444569780,71,-0.007611,0.6018,3,98,0,0,0,0,0:00:02
20200722_140232_1444653110,71,0.051801,0.7794,4,99,0,0,0,0,0:00:02
20200722_140232_1444753106,72,0.061388,0.7714,4,100,0,0,0,0,0:00:02
20200722_140232_1444836436,72,0.073031,0.8409,5,100,0,0,0,0,0:00:02
20200722_140232_1444919766,72,0.114264,1.1547,6,100,0,0,0,0,0:00:02
20200722_140232_1445019762,73,0.094568,1.248,6,100,0,0,0,0,0:00:02
20200722_140232_1445103092,73,0.103123,1.3436,7,100,0,0,0,0,0:00:02
20200722_140232_1445203088,74,0.068978,1.4176,7,100,0,0,0,0,0:00:02
20200722_140233_1445303084,75,-0.009745,1.2753,7,100,0,0,0,0,0:00:03
20200722_140233_1445403080,75,0.066515,1.4704,8,100,0,0,0,2,0:00:03
20200722_140233_1445486410,76,0.149674,2.0149,8,100,0,0,0,2,0:00:03
20200722_140233_1445569740,76,-0.109284,1.4157,6,100,0,0,0,2,0:00:03
20200722_140233_1445669736,77,-0.162628,0.8344,7,100,0,0,0,2,0:00:03
20200722_140233_1445753066,77,0.076545,1.4089,7,100,0,0,0,2,0:00:03
20200722_140233_1445819730,78,0.046873,1.8119,7,100,0,0,0,2,0:00:03
20200722_140233_1445919726,79,0.015818,1.5766,8,100,0,0,0,2,0:00:03
20200722_140233_1446019722,80,0.155642,1.9496,9,100,0,0,0,2,0:00:03
20200722_140233_1446086386,80,0.118742,2.1803,9,100,0,0,0,2,0:00:03
20200722_140234_1446186382,81,0.065573,2.2035,9,100,0,0,0,2,0:00:04
20200722_140234_1446286378,81,0.018609,2.1466,9,88,0,0,0,2,0:00:04
20200722_140234_1446386374,82,-0.117954,1.6453,8,19,0,0,0,2,0:00:04
20200722_140234_1446469704,83,-0.070027,1.6089,8,0,0,0,0,2,0:00:04
20200722_140234_1446569700,84,0.022984,1.8077,8,0,0,0,0,2,0:00:04
20200722_140234_1446653030,84,0.044641,1.8908,8,0,0,0,0,2,0:00:04
20200722_140234_1446753026,84,0.05205,1.9106,8,0,0,0,0,2,0:00:04
20200722_140234_1446836356,85,0.065023,1.9982,9,0,0,0,0,2,0:00:04
20200722_140234_1446919686,85,0.065962,2.0969,9,0,0,0,0,2,0:00:04
20200722_140234_1447003016,85,0.140701,2.3898,10,0,0,0,0,2,0:00:04
20200722_140235_1447086346,86,0.215588,2.9878,11,0,0,0,0,2,0:00:05
20200722_140235_1447186342,86,0.251464,3.4105,13,0,0,0,0,2,0:00:05
20200722_140235_1447269672,86,0.423636,4.3793,16,0,0,0,0,2,0:00:05
20200722_140235_1447369668,86,0.437165,5.4956,18,0,0,0,0,2,0:00:05
20200722_140235_1447452998,86,0.197108,5.5275,19,0,0,0,0,2,0:00:05
20200722_140235_1447552994,87,0.113025,5.2881,19,0,0,0,0,2,0:00:05
20200722_140235_1447636324,87,0.05829,5.3507,19,0,0,0,0,2,0:00:05
20200722_140235_1447719654,87,0.006471,5.2293,19,0,0,0,0,2,0:00:05
20200722_140235_1447819650,87,0.005476,4.9754,19,0,0,0,0,2,0:00:05
20200722_140235_1447902980,87,0.00876,4.8373,19,0,0,0,0,2,0:00:05
20200722_140235_1448019642,87,0.004643,4.8809,19,0,0,0,0,2,0:00:05
20200722_140236_1448136304,87,0.004092,4.9109,19,0,0,0,0,2,0:00:06
20200722_140236_1448219634,87,0.019073,4.9287,19,0,0,0,0,2,0:00:06
20200722_140236_1448302964,87,0.013713,4.8692,19,0,0,0,0,2,0:00:06
20200722_140236_1448402960,87,-0.006007,4.8092,19,0,0,0,0,2,0:00:06
20200722_140236_1448519622,87,0.116902,5.3848,20,0,0,0,0,2,0:00:06
20200722_140236_1448619618,87,0.092687,6.058,20,0,0,0,0,2,0:00:06
20200722_140236_1448702948,87,-0.012255,6.0895,20,0,0,0,0,2,0:00:06
