Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200717_170230_2976664262,0,-2.70E-05,0.000797,-0.009267,2,0,0,0,0,7
20200717_170230_2976697794,0,-2.00E-05,-0.000674,-0.012799,2,0,0,0,0,7
20200717_170230_2976730926,0,-6.00E-06,0.001474,-0.001393,2,0,0,0,0,7
20200717_170230_2976764278,0,3.00E-06,0.000768,0.008996,2,0,0,0,0,7
20200717_170230_2976797790,0,9.00E-06,-0.001297,0.022376,2,0,0,0,0,7
20200717_170230_2976830922,0,-8.00E-06,-0.001239,0.014479,2,0,0,0,0,7
20200717_170230_2976847788,0,-4.20E-05,0.0004,-0.007171,2,0,0,0,0,7
20200717_170231_2976897786,0,-3.70E-05,-0.000172,-0.010239,2,0,0,0,0,7
20200717_170231_2976914272,0,1.20E-05,7.00E-05,-0.012934,2,0,0,0,0,7
20200717_170231_2976947784,0,2.90E-05,0.001361,-0.003179,1,0,0,0,0,7
20200717_170231_2976980916,0,8.00E-06,0.00172,-0.000782,1,0,0,0,0,7
20200717_170231_2977014248,0,-1.70E-05,-0.000727,0.01212,1,0,0,0,0,7
20200717_170231_2977030914,0,-2.80E-05,-0.000809,0.003248,1,0,0,0,0,7
20200717_170231_2977064246,0,-2.40E-05,6.00E-05,0.001372,1,0,0,0,0,7
20200717_170231_2977080912,0,-3.10E-05,0.000132,-0.009039,1,2.381169798,0,0,0,7
20200717_170231_2977114244,0,-2.70E-05,-0.001079,-0.011879,1,7.777808744,0,0,0,7
20200717_170231_2977130910,0,-1.70E-05,-0.000496,-0.017939,1,3.9681077,0,0,0,7
20200717_170231_2977164242,0,8.00E-06,-4.70E-05,-0.01474,1,3.9681077,0,0,0,7
20200717_170231_2977197774,0,3.30E-05,0.001873,0.007136,1,8.729687333,0,0,0,7
20200717_170231_2977214240,0,-2.30E-05,3.30E-05,0.020881,1,16.2699312,0,0,0,7
20200717_170231_2977230906,0,-7.90E-05,-0.000624,0.011903,1,21.03171083,0,0,0,7
20200717_170231_2977280904,0,-7.90E-05,-0.000378,0.0182,1,31.7476307,0,0,0,7
20200717_170231_2977297770,0,9.00E-06,0.000247,-0.007293,1,46.03112936,0,0,0,7
20200717_170231_2977330902,0,6.00E-06,0.001446,-0.044721,1,49.60270278,0,0,0,7
20200717_170231_2977364234,0,1.60E-05,0.007744,-0.107047,1,62.8908217,0,0,0,7
20200717_170231_2977397766,0,4.70E-05,0.008879,-0.219111,1,77.78088047,0,0,0,7
20200717_170231_2977430898,0,3.10E-05,0.022436,-0.417479,1,87.93728742,0,0,0,7
20200717_170231_2977464230,0,-2.70E-05,0.036648,-0.677219,1,97.67621424,0,0,0,7
20200717_170231_2977497762,1,-4.70E-05,0.049769,-0.987727,1,100,0,0,0,0
20200717_170231_2977730894,1,-0.001272,0.073474,-1.332709,1,100,0,0,0,0
20200717_170231_2977764226,1,-0.002391,0.071797,-1.643931,2,100,0,0,0,0
