Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20191127_223939_1390005296,21.0,0.040696,-0.523284,2.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390038628,21.0,0.049154,-0.51103,3.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390071960,21.0,0.055494,-0.487211,3.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390088626,21.0,0.048217,-0.464362,4.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390105292,21.0,0.053686,-0.453197,4.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390138624,21.0,0.063667,-0.442202,4.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390155290,21.0,0.069858,-0.420706,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390188622,21.0,0.065122,-0.410149,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390221954,21.0,0.046978,-0.389354,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390238620,21.0,0.0332,-0.368742,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390288618,21.0,0.023264,-0.358488,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390305284,21.0,-0.00176,-0.329625,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390355282,21.0,-0.005106,-0.320446,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390371948,21.0,0.000779,-0.29534,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390405280,21.0,0.001896,-0.287703,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390438612,21.0,0.001905,-0.27381,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390471944,21.0,0.001045,-0.260643,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390488610,21.0,0.00064,-0.246726,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390505276,21.0,0.000604,-0.239339,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223939_1390538608,21.0,0.000605,-0.231765,5.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20191127_223940_1390588606,21.0,0.000614,-0.215963,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390605272,21.0,0.000607,-0.190164,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390638604,21.0,0.000575,-0.181372,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390655270,22.0,0.000591,-0.164388,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390705268,22.0,0.000571,-0.15616,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390721934,22.0,0.00046,-0.132512,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390755266,22.0,0.000434,-0.124965,5.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390788598,22.0,0.000401,-0.11031,4.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390838596,22.0,-0.008042,-0.096436,4.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390855262,22.0,-0.043489,-0.076749,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390905260,22.0,-0.04904,-0.070432,2.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20191127_223940_1390921926,22.0,-0.114619,-0.052295,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
